16.939999999999998;[0, 1];[0, 1, 1];[0, 1, 2];[0, 4]
16.939999999999998;[0, 1];[0, 2];[0, 1, 1, 1];[0, 4]
16.92;[0, 1];[0, 1, 1];[0, 3];[0, 1, 3]
16.87;[0, 1];[0, 1, 1];[0, 3];[0, 2, 2]
16.87;[0, 1];[0, 2];[0, 1, 2];[0, 1, 3]
16.87;[0, 1];[0, 2];[0, 3];[0, 1, 1, 2]
16.82;[0, 1];[0, 2];[0, 1, 2];[0, 2, 2]
16.66;[0, 1];[0, 1, 1];[0, 1, 1, 1];[3]
16.66;[0, 1];[0, 1, 1];[0, 3];[1, 1, 1]
16.61;[0, 1];[0, 1, 1];[0, 1, 2];[1, 2]
16.61;[0, 1];[0, 2];[0, 1, 1, 1];[1, 2]
16.61;[0, 1];[0, 2];[0, 1, 2];[1, 1, 1]
16.07;[0, 1];[0, 1, 1];[0, 3];[0, 4]
16.02;[0, 1];[0, 2];[0, 1, 2];[0, 4]
16.0;[0, 1];[0, 2];[0, 3];[0, 1, 3]
15.950000000000001;[0, 1];[0, 2];[0, 3];[0, 2, 2]
15.809999999999999;[0];[0, 1, 1];[0, 1, 1, 1];[0, 4]
15.809999999999999;[0, 1];[0, 1];[0, 1, 1, 1];[0, 4]
15.809999999999999;[0, 1];[0, 1, 1];[0, 1, 1];[0, 4]
15.74;[0];[0, 1, 1];[0, 1, 2];[0, 1, 3]
15.74;[0];[0, 2];[0, 1, 1, 1];[0, 1, 3]
15.74;[0];[0, 2];[0, 3];[0, 1, 1, 1, 1]
15.74;[0, 1];[0, 1];[0, 1, 2];[0, 1, 3]
15.74;[0, 1];[0, 1, 1];[0, 1, 2];[3]
15.74;[0, 1];[0, 1, 1];[0, 2];[0, 1, 3]
15.74;[0, 1];[0, 1, 1];[0, 3];[1, 2]
15.74;[0, 1];[0, 2];[0, 1, 1];[0, 1, 3]
15.74;[0, 1];[0, 2];[0, 1, 1, 1];[3]
15.74;[0, 1];[0, 2];[0, 3];[1, 1, 1]
15.739999999999998;[0];[0, 1, 1];[0, 3];[0, 1, 1, 2]
15.739999999999998;[0, 1];[0, 1];[0, 3];[0, 1, 1, 2]
15.690000000000001;[0];[0, 1, 1];[0, 1, 2];[0, 2, 2]
