22.8;[0, 1];[0, 1, 1];[0, 3];[0, 4];[0, 5]
22.759999999999998;[0, 1];[0, 2];[0, 3];[0, 4];[0, 1, 4]
22.75;[0, 1];[0, 2];[0, 1, 2];[0, 4];[0, 5]
22.73;[0, 1];[0, 2];[0, 3];[0, 1, 3];[0, 5]
22.69;[0, 1];[0, 2];[0, 3];[0, 4];[0, 2, 3]
22.68;[0, 1];[0, 2];[0, 3];[0, 2, 2];[0, 5]
22.5;[0, 1];[0, 1, 1];[0, 1, 2];[0, 4];[4]
22.5;[0, 1];[0, 2];[0, 1, 1, 1];[0, 4];[4]
22.48;[0, 1];[0, 1, 1];[0, 3];[0, 1, 3];[4]
22.48;[0, 1];[0, 1, 1];[0, 3];[0, 4];[1, 3]
22.43;[0, 1];[0, 1, 1];[0, 3];[0, 2, 2];[4]
22.43;[0, 1];[0, 1, 1];[0, 3];[0, 4];[2, 2]
22.43;[0, 1];[0, 2];[0, 1, 2];[0, 1, 3];[4]
22.43;[0, 1];[0, 2];[0, 1, 2];[0, 4];[1, 3]
22.43;[0, 1];[0, 2];[0, 3];[0, 1, 1, 2];[4]
22.43;[0, 1];[0, 2];[0, 3];[0, 4];[1, 1, 2]
22.41;[0, 1];[0, 2];[0, 3];[0, 1, 3];[1, 3]
22.38;[0, 1];[0, 2];[0, 1, 2];[0, 2, 2];[4]
22.38;[0, 1];[0, 2];[0, 1, 2];[0, 4];[2, 2]
22.36;[0, 1];[0, 2];[0, 3];[0, 1, 3];[2, 2]
22.36;[0, 1];[0, 2];[0, 3];[0, 2, 2];[1, 3]
22.310000000000002;[0, 1];[0, 2];[0, 3];[0, 2, 2];[2, 2]
21.88;[0, 1];[0, 2];[0, 3];[0, 4];[0, 5]
21.63;[0];[0, 1, 1];[0, 3];[0, 4];[0, 1, 4]
21.63;[0, 1];[0, 1];[0, 3];[0, 4];[0, 1, 4]
21.63;[0, 1];[0, 1, 1];[0, 3];[0, 4];[4]
21.62;[0];[0, 1, 1];[0, 1, 2];[0, 4];[0, 5]
21.62;[0];[0, 2];[0, 1, 1, 1];[0, 4];[0, 5]
21.62;[0, 1];[0, 1];[0, 1, 2];[0, 4];[0, 5]
21.62;[0, 1];[0, 1, 1];[0, 2];[0, 4];[0, 5]
21.62;[0, 1];[0, 2];[0, 1, 1];[0, 4];[0, 5]
21.6;[0];[0, 1, 1];[0, 3];[0, 1, 3];[0, 5]
21.6;[0, 1];[0, 1];[0, 3];[0, 1, 3];[0, 5]
21.6;[0, 1];[0, 1, 1];[0, 3];[0, 3];[0, 5]
21.58;[0];[0, 2];[0, 1, 2];[0, 4];[0, 1, 4]
21.58;[0, 1];[0, 2];[0, 1, 2];[0, 4];[4]
21.58;[0, 1];[0, 2];[0, 2];[0, 4];[0, 1, 4]
21.560000000000002;[0];[0, 1, 1];[0, 3];[0, 4];[0, 2, 3]
21.560000000000002;[0];[0, 2];[0, 3];[0, 4];[0, 1, 1, 3]
21.560000000000002;[0, 1];[0, 1];[0, 3];[0, 4];[0, 2, 3]
21.56;[0];[0, 2];[0, 3];[0, 1, 3];[0, 1, 4]
21.56;[0, 1];[0, 2];[0, 3];[0, 1, 3];[4]
21.56;[0, 1];[0, 2];[0, 3];[0, 3];[0, 1, 4]
21.56;[0, 1];[0, 2];[0, 3];[0, 4];[1, 3]
21.55;[0];[0, 1, 1];[0, 3];[0, 2, 2];[0, 5]
21.55;[0];[0, 2];[0, 1, 2];[0, 1, 3];[0, 5]
21.55;[0];[0, 2];[0, 3];[0, 1, 1, 2];[0, 5]
21.55;[0, 1];[0, 1];[0, 3];[0, 2, 2];[0, 5]
21.55;[0, 1];[0, 2];[0, 1, 2];[0, 3];[0, 5]
21.55;[0, 1];[0, 2];[0, 2];[0, 1, 3];[0, 5]
21.55;[0, 1];[0, 2];[0, 3];[0, 1, 2];[0, 5]
21.51;[0];[0, 2];[0, 1, 2];[0, 4];[0, 2, 3]
21.51;[0];[0, 2];[0, 3];[0, 2, 2];[0, 1, 4]
21.51;[0];[0, 2];[0, 3];[0, 4];[0, 1, 2, 2]
21.51;[0, 1];[0, 2];[0, 2];[0, 4];[0, 2, 3]
21.51;[0, 1];[0, 2];[0, 3];[0, 2, 2];[4]
21.51;[0, 1];[0, 2];[0, 3];[0, 4];[2, 2]
21.5;[0];[0, 2];[0, 1, 2];[0, 2, 2];[0, 5]
21.5;[0, 1];[0, 2];[0, 2];[0, 2, 2];[0, 5]
21.490000000000002;[0];[0, 2];[0, 3];[0, 1, 3];[0, 2, 3]
21.490000000000002;[0, 1];[0, 2];[0, 3];[0, 3];[0, 2, 3]
21.44;[0];[0, 2];[0, 3];[0, 2, 2];[0, 2, 3]
21.369999999999997;[0];[0, 1, 1];[0, 1, 1, 1];[0, 4];[4]
21.369999999999997;[0, 1];[0, 1];[0, 1, 1, 1];[0, 4];[4]
21.369999999999997;[0, 1];[0, 1, 1];[0, 1, 1];[0, 4];[4]
21.3;[0];[0, 1, 1];[0, 1, 2];[0, 1, 3];[4]
21.3;[0];[0, 1, 1];[0, 1, 2];[0, 4];[1, 3]
21.3;[0];[0, 2];[0, 1, 1, 1];[0, 1, 3];[4]
21.3;[0];[0, 2];[0, 1, 1, 1];[0, 4];[1, 3]
21.3;[0];[0, 2];[0, 3];[0, 1, 1, 1, 1];[4]
21.3;[0];[0, 2];[0, 3];[0, 4];[1, 1, 1, 1]
21.3;[0, 1];[0, 1];[0, 1, 2];[0, 1, 3];[4]
21.3;[0, 1];[0, 1];[0, 1, 2];[0, 4];[1, 3]
21.3;[0, 1];[0, 1, 1];[0, 1, 2];[3];[0, 4]
21.3;[0, 1];[0, 1, 1];[0, 1, 2];[0, 4];[3]
21.3;[0, 1];[0, 1, 1];[0, 2];[0, 1, 3];[4]
21.3;[0, 1];[0, 1, 1];[0, 2];[0, 4];[1, 3]
21.3;[0, 1];[0, 1, 1];[0, 3];[1, 2];[0, 4]
21.3;[0, 1];[0, 1, 1];[0, 3];[0, 4];[1, 2]
21.3;[0, 1];[0, 2];[0, 1, 1];[0, 1, 3];[4]
21.3;[0, 1];[0, 2];[0, 1, 1];[0, 4];[1, 3]
21.3;[0, 1];[0, 2];[0, 1, 1, 1];[3];[0, 4]
21.3;[0, 1];[0, 2];[0, 1, 1, 1];[0, 4];[3]
21.3;[0, 1];[0, 2];[0, 3];[1, 1, 1];[0, 4]
21.3;[0, 1];[0, 2];[0, 3];[0, 4];[1, 1, 1]
21.299999999999997;[0];[0, 1, 1];[0, 3];[0, 1, 1, 2];[4]
21.299999999999997;[0];[0, 1, 1];[0, 3];[0, 4];[1, 1, 2]
21.299999999999997;[0, 1];[0, 1];[0, 3];[0, 1, 1, 2];[4]
21.299999999999997;[0, 1];[0, 1];[0, 3];[0, 4];[1, 1, 2]
21.28;[0];[0, 1, 1];[0, 3];[0, 1, 3];[1, 3]
21.28;[0, 1];[0, 1];[0, 3];[0, 1, 3];[1, 3]
21.28;[0, 1];[0, 1, 1];[0, 3];[3];[0, 1, 3]
21.28;[0, 1];[0, 1, 1];[0, 3];[0, 1, 3];[3]
21.25;[0];[0, 1, 1];[0, 1, 2];[0, 2, 2];[4]
21.25;[0];[0, 1, 1];[0, 1, 2];[0, 4];[2, 2]
21.25;[0];[0, 2];[0, 1, 1, 1];[0, 2, 2];[4]
21.25;[0];[0, 2];[0, 1, 1, 1];[0, 4];[2, 2]
21.25;[0];[0, 2];[0, 1, 2];[0, 1, 1, 2];[4]
21.25;[0];[0, 2];[0, 1, 2];[0, 4];[1, 1, 2]
21.25;[0, 1];[0, 1];[0, 1, 2];[0, 2, 2];[4]
21.25;[0, 1];[0, 1];[0, 1, 2];[0, 4];[2, 2]
21.25;[0, 1];[0, 1, 1];[0, 2];[0, 2, 2];[4]
21.25;[0, 1];[0, 1, 1];[0, 2];[0, 4];[2, 2]
21.25;[0, 1];[0, 2];[0, 1, 1];[0, 2, 2];[4]
21.25;[0, 1];[0, 2];[0, 1, 1];[0, 4];[2, 2]
21.25;[0, 1];[0, 2];[0, 1, 2];[1, 2];[0, 4]
21.25;[0, 1];[0, 2];[0, 1, 2];[0, 4];[1, 2]
21.25;[0, 1];[0, 2];[0, 2];[0, 1, 1, 2];[4]
21.25;[0, 1];[0, 2];[0, 2];[0, 4];[1, 1, 2]
21.23;[0];[0, 1, 1];[0, 3];[0, 1, 3];[2, 2]
21.23;[0];[0, 1, 1];[0, 3];[0, 2, 2];[1, 3]
21.23;[0];[0, 2];[0, 1, 2];[0, 1, 3];[1, 3]
21.23;[0];[0, 2];[0, 3];[0, 1, 1, 2];[1, 3]
21.23;[0];[0, 2];[0, 3];[0, 1, 3];[1, 1, 2]
21.23;[0, 1];[0, 1];[0, 3];[0, 1, 3];[2, 2]
21.23;[0, 1];[0, 1];[0, 3];[0, 2, 2];[1, 3]
21.23;[0, 1];[0, 1, 1];[0, 3];[3];[0, 2, 2]
21.23;[0, 1];[0, 1, 1];[0, 3];[0, 2, 2];[3]
21.23;[0, 1];[0, 2];[0, 1, 2];[3];[0, 1, 3]
21.23;[0, 1];[0, 2];[0, 1, 2];[0, 1, 3];[3]
